# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	66987
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=267 d=2.50639 t=66987
nan nv 	男女	c=1 d=2.2106e-09 t=66987
nan peng you 	男朋友	c=1 d=4.23396e-125 t=66987
nan ping 	难平	c=0 d=6.70163e-58 t=66987
nan ren 	男人	c=1 d=7.91109e-09 t=66987
nan shou 	难受	c=6 d=2.4655e-28 t=66987
nan yang 	南阳	c=1 d=0.782705 t=66987
nan yong 	难用	c=1 d=4.87716e-83 t=66987
nao 	脑	c=0 d=2.12879e-125 t=66987
nao 	闹	c=1 d=2.30756e-14 t=66987
nao ji shui 	脑积水	c=1 d=1.16136e-54 t=66987
nao le 	闹了	c=1 d=7.78038e-107 t=66987
nao teng 	闹腾	c=1 d=5.63111e-127 t=66987
nao zi 	脑子	c=3 d=6.36567e-09 t=66987
ne 	呢	c=47 d=2.55943 t=66987
ne zha 	哪吒	c=5 d=2.33737e-37 t=66987
nei 	内	c=19 d=1.22351e-35 t=66987
nei bu 	内部	c=6 d=1.45296e-13 t=66987
nei ce 	内测	c=1 d=0.101774 t=66987
nei cun 	内存	c=11 d=0.00170362 t=66987
nei di 	内地	c=1 d=0.00069264 t=66987
nei he 	内核	c=1 d=6.12398e-26 t=66987
nei lian 	内联	c=2 d=1.89299 t=66987
nei luan 	内乱	c=1 d=1.90438e-137 t=66987
nei qian 	内嵌	c=3 d=0.955997 t=66987
nei rong 	内容	c=46 d=0.0108163 t=66987
nei tong guo 	内通过	c=1 d=3.75454e-123 t=66987
nei wang 	内网	c=9 d=0.123391 t=66987
nei zhi 	内置	c=2 d=1.26152e-86 t=66987
nen 	嫩	c=0 d=2.67192e-122 t=66987
nen miao 	嫩苗	c=0 d=1.06669e-84 t=66987
neng 	能	c=93 d=1.27784 t=66987
neng bu 	能不	c=1 d=3.51837e-94 t=66987
neng bu dong 	能不动	c=1 d=4.0936e-52 t=66987
neng bu er neng 	能不而能	c=3 d=0.0219278 t=66987
neng bu ne gui 	能不呢桂	c=1 d=1.52991e-120 t=66987
neng bu neng 	能不能	c=19 d=0.546074 t=66987
neng fou 	能否	c=1 d=1.74682e-121 t=66987
neng li 	能力	c=6 d=1.62746e-13 t=66987
neng qu 	能去	c=0 d=2.01069e-130 t=66987
neng shou dao 	能收到	c=1 d=3.80246e-37 t=66987
neng yong 	能用	c=0 d=4.01583e-92 t=66987
neng yong bu 	能用不	c=1 d=4.03596e-91 t=66987
neng yuan 	能源	c=1 d=4.15039e-67 t=66987
neng zhuan fa 	能转发	c=1 d=1.08333e-118 t=66987
ni 	你	c=836 d=7.05601 t=66987
ni ba 	你把	c=1 d=7.03017e-120 t=66987
ni bu hui 	你不会	c=1 d=1.53122e-130 t=66987
ni bu shi 	你不是	c=2 d=7.2172e-76 t=66987
ni bu yao 	你不要	c=2 d=0.697676 t=66987
ni cai 	你猜	c=4 d=0.0176857 t=66987
ni cheng 	昵称	c=71 d=0.975339 t=66987
ni cheng neng 	昵称能	c=1 d=1.12012e-11 t=66987
ni dang 	你当	c=0 d=0.000102814 t=66987
ni dao le me 	你到了么	c=1 d=3.45469e-85 t=66987
ni de 	你的	c=5 d=0.597501 t=66987
ni dei 	你得	c=2 d=2.49908e-99 t=66987
ni dou 	你都	c=2 d=3.2825e-13 t=66987
ni dou shi 	你都是	c=1 d=4.86705e-88 t=66987
ni gai cheng 	你改成	c=1 d=3.73327e-115 t=66987
ni ge 	你个	c=1 d=5.80576e-104 t=66987
ni gei wo 	你给我	c=2 d=5.68904e-71 t=66987
ni gou jian 	你构建	c=1 d=4.89478e-96 t=66987
ni hai 	你还	c=1 d=5.89288e-44 t=66987
ni hai zai 	你还在	c=1 d=0.865022 t=66987
ni hao 	你好	c=17 d=3.83795 t=66987
ni hao me 	你好么	c=1 d=0.147342 t=66987
ni hao xiang 	你好像	c=1 d=2.53658e-39 t=66987
ni hao ya 	你好呀	c=1 d=9.03211e-68 t=66987
ni hou lai 	你后来	c=1 d=4.81355e-105 t=66987
ni hui 	你会	c=1 d=4.89759e-44 t=66987
ni jia 	你家	c=1 d=4.45255e-129 t=66987
ni jin tian 	你今天	c=1 d=1.04095e-31 t=66987
ni jing 	逆境	c=0 d=1.59294e-96 t=66987
ni jing ran 	逆境然	c=1 d=1.60093e-95 t=66987
ni jiu 	你就	c=4 d=6.41427e-129 t=66987
ni kan 	你看	c=5 d=0.0167392 t=66987
ni kan kan 	你看看	c=1 d=3.50083e-94 t=66987
ni kan xia 	你看下	c=3 d=6.58123e-79 t=66987
ni ke 	你可	c=1 d=5.83368e-131 t=66987
ni ke yi 	你可以	c=10 d=0.000185029 t=66987
ni lai 	你来	c=1 d=6.1053e-137 t=66987
ni lao po 	你老婆	c=3 d=6.42639e-93 t=66987
ni le 	你了	c=1 d=1.70148e-47 t=66987
ni le 	腻了	c=1 d=0.937067 t=66987
ni le me 	你了么	c=1 d=0.748264 t=66987
ni lia 	你俩	c=3 d=9.09159e-57 t=66987
ni ma 	尼玛	c=1 d=0.0898153 t=66987
ni ma 	尼马	c=1 d=1.08939e-66 t=66987
ni mei you 	你没有	c=2 d=4.60204e-47 t=66987
ni men 	你们	c=80 d=1.36359 t=66987
ni men jia 	你们家	c=1 d=6.83097e-76 t=66987
ni men le 	你们了	c=1 d=0.618783 t=66987
ni ming 	匿名	c=1 d=2.16367e-80 t=66987
ni na 	你那	c=3 d=8.7446e-12 t=66987
ni na bi na 	你那比那	c=1 d=8.78843e-11 t=66987
ni na bian 	你那边	c=6 d=5.26289e-08 t=66987
ni na li 	你那里	c=6 d=1.71531e-54 t=66987
ni neng 	你能	c=1 d=6.3974e-128 t=66987
ni ru guo 	你如果	c=2 d=4.53738e-57 t=66987
ni shi 	你是	c=12 d=0.000484661 t=66987
ni shi bu shi 	你是不是	c=2 d=1.14703e-55 t=66987
ni shi shi 	你试试	c=2 d=7.6507e-27 t=66987
ni shi shuo 	你是说	c=1 d=2.13103e-107 t=66987
ni shua xin 	你刷新	c=1 d=1.03883e-07 t=66987
ni shuo 	你说	c=4 d=1.80013e-63 t=66987
ni xia wu 	你下午	c=1 d=8.07313e-71 t=66987
ni xian zai 	你现在	c=1 d=7.36127e-132 t=66987
ni xiang 	逆向	c=3 d=8.43603e-78 t=66987
ni xing 	逆行	c=0 d=3.22364e-07 t=66987
ni xu 	逆序	c=0 d=1.19731e-90 t=66987
ni yao 	你要	c=15 d=0.00941925 t=66987
ni yao bu 	你要不	c=2 d=9.29392e-110 t=66987
ni yao shi 	你要是	c=1 d=1.14318e-133 t=66987
ni yao si 	你要死	c=1 d=1.13748e-133 t=66987
ni ye 	你也	c=3 d=5.05465e-33 t=66987
ni ye dei 	你也得	c=1 d=4.01856e-99 t=66987
ni ye xin 	你野心	c=1 d=2.49237e-38 t=66987
ni yi ge yue 	你一个月	c=1 d=3.1668e-32 t=66987
ni yi wei 	你以为	c=1 d=1.94159e-100 t=66987
ni ying gai 	你应该	c=2 d=1.05324e-22 t=66987
ni yong 	你用	c=1 d=3.24676e-90 t=66987
ni you 	你有	c=6 d=0.0682212 t=66987
ni you kong 	你有空	c=1 d=1.55198e-112 t=66987
ni za la 	你咋啦	c=1 d=2.89042e-134 t=66987
ni zai 	你再	c=6 d=6.75654e-06 t=66987
ni zai 	你在	c=2 d=1.42319e-144 t=66987
ni zhe ge 	你这个	c=2 d=1.76048e-95 t=66987
ni zhe li 	你这里	c=2 d=6.14236e-11 t=66987
ni zhi dao 	你知道	c=1 d=1.56853e-31 t=66987
ni zhi jie 	你直接	c=1 d=3.81855e-116 t=66987
ni zi ji 	你自己	c=4 d=4.30522e-27 t=66987
nian 	年	c=24 d=1.29389 t=66987
nian chu 	年初	c=1 d=3.90945e-57 t=66987
nian du 	年度	c=13 d=2.23686e-11 t=66987
nian fen 	年份	c=3 d=1.09633e-12 t=66987
nian hou 	年后	c=2 d=6.07878e-47 t=66987
nian ji 	年级	c=2 d=1.36691e-30 t=66987
nian ling 	年龄	c=1 d=2.07813e-76 t=66987
nian qian 	年前	c=1 d=1.43773e-36 t=66987
nian qing 	年轻	c=1 d=2.67727e-27 t=66987
nian qing ren 	年轻人	c=2 d=0.0132999 t=66987
nian ren 	黏人	c=2 d=1.73438 t=66987
niang er 	娘儿	c=2 d=7.93427e-14 t=66987
niao bu 	尿布	c=1 d=0.323033 t=66987
niao bu shi 	尿不湿	c=1 d=6.52637e-10 t=66987
niao chuang 	尿床	c=1 d=1.47839e-70 t=66987
niao chuang le 	尿床了	c=1 d=1.50826e-70 t=66987
niao du zheng 	尿毒症	c=1 d=7.47427e-76 t=66987
niao niao 	尿尿	c=1 d=8.34222e-45 t=66987
niao pin 	尿频	c=0 d=1.12135e-113 t=66987
nin 	您	c=6 d=7.64029e-11 t=66987
nin hao 	您好	c=1 d=5.32104e-49 t=66987
ning 	宁	c=2 d=1.02859e-28 t=66987
niu 	牛	c=9 d=0.0234005 t=66987
niu bi 	牛逼	c=4 d=4.38667e-32 t=66987
niu de 	牛的	c=1 d=3.65461e-41 t=66987
niu ma 	牛马	c=1 d=8.83793e-77 t=66987
niu nai 	牛奶	c=4 d=2.83847e-09 t=66987
niu niu 	牛牛	c=1 d=0.0372538 t=66987
niu pai 	牛排	c=1 d=7.89528e-103 t=66987
nong 	弄	c=5 d=0.985112 t=66987
nong bu diao 	弄不掉	c=1 d=1.64604e-69 t=66987
nong cheng 	弄成	c=1 d=6.95667e-114 t=66987
nong cun 	农村	c=9 d=1.0979e-91 t=66987
nong dao 	弄到	c=1 d=1.66258e-69 t=66987
nong de 	弄得	c=4 d=4.21612e-46 t=66987
nong guo 	弄过	c=1 d=0.0202419 t=66987
nong hang 	农行	c=0 d=6.46122e-40 t=66987
nong hao 	弄好	c=1 d=2.0889e-78 t=66987
nong hao le 	弄好了	c=1 d=6.22057e-63 t=66987
nong hua 	农化	c=0 d=8.24691e-146 t=66987
nong hua cun 	农化存	c=1 d=8.28825e-145 t=66987
nong min 	农民	c=1 d=3.51082e-10 t=66987
nu 	怒	c=0 d=1.49284e-09 t=66987
nuo dao 	挪到	c=2 d=2.51605e-61 t=66987
nv 	女	c=1 d=8.74254e-67 t=66987
nv er 	女儿	c=1 d=1.86059e-128 t=66987
nv tuan 	女团	c=1 d=3.54637e-99 t=66987
nv xing 	女性	c=5 d=9.53226e-09 t=66987
o 	哦	c=23 d=0.831104 t=66987
o gong xi 	哦恭喜	c=1 d=0.0566989 t=66987
o o 	哦哦	c=1 d=8.65142e-32 t=66987
o yue 	哦月	c=1 d=6.10154e-71 t=66987
ou 	欧	c=1 d=1.48585e-42 t=66987
ou cuo 	欧厝	c=0 d=8.62852e-90 t=66987
ou fa 	偶发	c=0 d=7.49362e-78 t=66987
ou he 	耦合	c=1 d=7.86042e-51 t=66987
ou ji 	偶记	c=1 d=9.1992e-19 t=66987
ou jian 	偶见	c=0 d=3.6862e-55 t=66987
ou kan 	偶看	c=5 d=1.59267e-93 t=66987
ou meng 	欧盟	c=1 d=0.0138427 t=66987
ou qu 	欧区	c=0 d=3.14642e-104 t=66987
ou shi 	欧式	c=1 d=2.9332e-102 t=66987
ou shu 	偶数	c=1 d=4.4501e-05 t=66987
ou xian 	偶现	c=3 d=1.69437e-105 t=66987
ou zhou 	欧洲	c=0 d=3.53349e-116 t=66987
pa 	怕	c=12 d=0.136695 t=66987
pa bu pa 	怕不怕	c=1 d=7.79331e-09 t=66987
pa chong 	爬虫	c=1 d=2.49271e-69 t=66987
pa chu lai 	爬出来	c=1 d=0.138069 t=66987
pa duan 	怕端	c=1 d=2.75235e-117 t=66987
pa le 	怕了	c=1 d=3.0774e-48 t=66987
pa pai 	怕拍	c=1 d=4.77052e-117 t=66987
pa sha 	怕啥	c=1 d=2.80727e-26 t=66987
pai 	拍	c=7 d=7.94914e-36 t=66987
pai 	排	c=4 d=2.46891e-15 t=66987
pai 	牌	c=13 d=0.369723 t=66987
pai ban 	排版	c=1 d=1.01084e-68 t=66987
pai cha 	排查	c=2 d=5.47435e-89 t=66987
pai chu 	排除	c=6 d=2.44052e-26 t=66987
pai chu le 	派出了	c=1 d=5.75913e-68 t=66987
pai chu suo 	派出所	c=2 d=2.58036e-144 t=66987
pai dai 	牌待	c=1 d=4.39776e-101 t=66987
pai dao 	排到	c=1 d=2.64874e-48 t=66987
pai dui 	排队	c=5 d=4.97576e-15 t=66987
pai fa 	派发	c=3 d=0.13522 t=66987
pai le 	拍了	c=1 d=6.27179e-130 t=66987
pai lie 	排列	c=1 d=3.99784e-97 t=66987
pai ming 	排名	c=7 d=2.21045 t=66987
pai qi 	排期	c=4 d=3.7579e-49 t=66987
pai si 	拍死	c=1 d=2.4566e-15 t=66987
pai xi 	派息	c=1 d=0.0437178 t=66987
pai xu 	排序	c=24 d=0.0871609 t=66987
pai xu yao 	排序要	c=1 d=7.18388e-51 t=66987
pai zai 	排在	c=1 d=1.84991e-31 t=66987
pai zhao 	拍照	c=5 d=3.11806e-26 t=66987
pan 	盘	c=10 d=2.06221e-15 t=66987
pan ding 	判定	c=3 d=4.05619e-91 t=66987
pan du 	判读	c=0 d=1.40047e-81 t=66987
pan du a 	判读啊	c=1 d=1.40749e-80 t=66987
pan duan 	判断	c=102 d=1.01714 t=66987
pan duan juan 	判断卷	c=1 d=1.42062e-101 t=66987
pan kong 	判空	c=1 d=1.02323e-123 t=66987
pan mian 	盘面	c=3 d=2.02744e-109 t=66987
pan wei zhi 	潘威志	c=1 d=9.44332e-33 t=66987
pang 	旁	c=1 d=5.2111e-37 t=66987
pang 	胖	c=1 d=1.91835e-76 t=66987
pang bian 	旁边	c=1 d=1.64963e-124 t=66987
pang bu pang 	胖不胖	c=1 d=6.93916e-55 t=66987
pang da 	庞大	c=1 d=3.73415e-59 t=66987
pang lu 	旁路	c=2 d=0.0399551 t=66987
pang lu you 	旁路由	c=2 d=1.41092e-36 t=66987
pang me 	胖么	c=1 d=1.0147e-54 t=66987
pang pin dao 	旁频道	c=1 d=8.63349e-37 t=66987
pang zi 	胖子	c=1 d=0.882497 t=66987
pao 	刨	c=4 d=0.0246398 t=66987
pao 	抛	c=2 d=0.00216573 t=66987
pao 	泡	c=1 d=1.64413e-26 t=66987
pao 	跑	c=38 d=0.0106202 t=66987
pao bu 	跑步	c=5 d=0.932514 t=66987
pao bu hao 	跑不好	c=1 d=0.00120654 t=66987
pao bu liao 	跑不了	c=1 d=2.07495e-58 t=66987
pao bu qi lai 	跑不起来	c=2 d=1.72685e-74 t=66987
pao ge 	泡个	c=1 d=1.29244e-18 t=66987
pao guo 	跑过	c=1 d=4.46512e-74 t=66987
pao jiao 	泡脚	c=1 d=1.77218e-26 t=66987
pao le 	跑了	c=1 d=3.06205e-48 t=66987
pao mian 	泡面	c=1 d=4.05813e-126 t=66987
pao qi lai 	跑起来	c=2 d=2.92314e-90 t=66987
pao shui he 	泡水喝	c=1 d=8.74793e-133 t=66987
pao yu 	跑鱼	c=6 d=7.47587e-24 t=66987
pao zhe 	跑着	c=1 d=1.23398e-91 t=66987
pei 	配	c=5 d=1.80056e-07 t=66987
pei 	陪	c=3 d=1.12102e-37 t=66987
pei ban 	陪伴	c=1 d=0.00839634 t=66987
pei ban yin zhang 	陪伴印章	c=1 d=0.0765355 t=66987
pei chan jia 	陪产假	c=4 d=0.154896 t=66987
pei dai 	佩戴	c=1 d=4.4198e-101 t=66987
pei he 	配合	c=1 d=5.7034e-130 t=66987
pei ni 	陪你	c=1 d=5.43131e-55 t=66987
pei ou 	配偶	c=1 d=2.50444e-36 t=66987
pei se 	配色	c=1 d=3.40406e-30 t=66987
pei shang 	配上	c=1 d=2.16609e-05 t=66987
pei tu 	配图	c=2 d=4.79984e-24 t=66987
pei xun ji gou 	培训机构	c=1 d=4.03897e-41 t=66987
pei yan jing 	配眼镜	c=1 d=5.08295e-128 t=66987
pei yang 	培养	c=6 d=2.03399e-29 t=66987
pei yang yi xia 	培养一下	c=1 d=5.61849e-130 t=66987
pei yu 	培育	c=3 d=0.0179206 t=66987
pei zang 	陪葬	c=2 d=0.157262 t=66987
pei zhi 	配置	c=216 d=7.29773 t=66987
pei zhi hao le 	配置好了	c=1 d=8.20099e-50 t=66987
pei zhi xiang 	配置项	c=1 d=4.3559e-18 t=66987
pen 	喷	c=4 d=0.00690852 t=66987
pen wu 	喷雾	c=1 d=1.90866e-134 t=66987
peng 	彭	c=2 d=4.20009e-60 t=66987
peng 	碰	c=1 d=1.55424e-41 t=66987
peng 	鹏	c=4 d=0.0147723 t=66987
peng dao 	碰到	c=2 d=1.4967e-09 t=66987
peng jian 	碰见	c=1 d=1.1142e-125 t=66987
peng run tu 	膨润土	c=0 d=1.61559e-115 t=66987
peng you 	朋友	c=1 d=2.21642e-128 t=66987
pi 	皮	c=0 d=3.09578e-119 t=66987
pi ai 	皮埃	c=0 d=1.32616e-116 t=66987
pi di 	匹敌	c=1 d=1.33112e-12 t=66987
pi fu 	皮肤	c=2 d=0.0751663 t=66987
pi gu 	屁股	c=3 d=0.61304 t=66987
pi gu tong 	屁股痛	c=1 d=1.18249e-119 t=66987
pi liang 	批量	c=21 d=0.118914 t=66987
pi pei 	匹配	c=60 d=0.131336 t=66987
pi pei zhong 	匹配中	c=1 d=1.14439e-116 t=66987
pi pi 	屁屁	c=0 d=8.82383e-118 t=66987
pi pi 	皮皮	c=1 d=3.25084e-46 t=66987
pi pi ei 	屁屁欸	c=1 d=8.86806e-117 t=66987
pi qi 	脾气	c=1 d=2.54895e-08 t=66987
pi zhun 	批准	c=2 d=5.04074e-30 t=66987
pian 	片	c=1 d=5.16873e-119 t=66987
pian 	篇	c=2 d=1.64295e-103 t=66987
pian 	骗	c=1 d=1.36621e-24 t=66987
pian di 	偏低	c=1 d=1.60463e-34 t=66987
pian hao 	偏好	c=2 d=2.37815e-68 t=66987
pian hao zhong 	偏好中	c=1 d=2.13443e-67 t=66987
pian ju 	骗局	c=1 d=7.17678e-10 t=66987
pian ni 	骗你	c=1 d=9.12348e-10 t=66987
pian ni ne 	骗你呢	c=1 d=2.47994e-38 t=66987
pian ren 	骗人	c=2 d=1.01036e-33 t=66987
pian wo 	骗我	c=1 d=4.57412e-93 t=66987
pian xiao 	偏小	c=3 d=2.08109e-34 t=66987
pian xuan 	偏选	c=1 d=1.70554e-75 t=66987
pian yi 	便宜	c=1 d=4.11946e-126 t=66987
pian yi dian 	便宜点	c=1 d=5.66392e-19 t=66987
pian yi dian er 	便宜点儿	c=1 d=7.72027e-104 t=66987
pian yi liang 	偏移量	c=2 d=4.91895e-07 t=66987
pian zou 	骗走	c=1 d=1.11234e-76 t=66987
piao 	票	c=1 d=4.58815e-129 t=66987
piao 	飘	c=1 d=0.299692 t=66987
piao xuan 	票选	c=17 d=5.21867e-57 t=66987
pie zhi 	撇只	c=1 d=4.984e-132 t=66987
pin 	拼	c=7 d=4.98533e-47 t=66987
pin dao 	频道	c=195 d=0.768846 t=66987
pin de 	品德	c=1 d=6.39237e-60 t=66987
pin dui 	拼对	c=1 d=3.58834e-61 t=66987
pin fen 	拼分	c=1 d=2.32459e-71 t=66987
pin jie 	拼接	c=15 d=0.00012341 t=66987
pin kun 	贫困	c=1 d=1.71228e-92 t=66987
pin lv 	频率	c=3 d=4.11756e-23 t=66987
pin pai 	品牌	c=2 d=1.87893e-111 t=66987
pin shen 	拼沈	c=1 d=3.40626e-66 t=66987
pin tai 	拼太	c=2 d=2.15809e-79 t=66987
pin xue 	贫血	c=6 d=5.79608e-129 t=66987
pin yin 	拼音	c=4 d=2.26243 t=66987
ping 	平	c=1 d=5.29687e-113 t=66987
ping an 	平安	c=1 d=0.0112206 t=66987
ping chang 	平常	c=2 d=4.97855e-31 t=66987
ping dao 	平道	c=3 d=1.9825e-73 t=66987
ping fen 	评分	c=26 d=6.9083e-32 t=66987
ping guo 	苹果	c=15 d=0.241274 t=66987
ping ji 	平级	c=1 d=5.48683e-57 t=66987
ping jia 	评价	c=3 d=0.0123389 t=66987
ping ju 	平局	c=1 d=5.06465e-115 t=66987
ping kun 	平坤	c=1 d=1.70374e-92 t=66987
ping lun 	评论	c=79 d=8.52079e-49 t=66987
ping lun jia 	评论家	c=1 d=4.17403e-75 t=66987
ping lun zhe 	评论者	c=1 d=5.87347e-64 t=66987
ping mu 	屏幕	c=18 d=7.22231e-38 t=66987
ping shen 	评审	c=10 d=0.00869506 t=66987
ping tai 	平台	c=39 d=2.43614 t=66987
ping zheng 	凭证	c=1 d=2.01677e-47 t=66987
po jie ban 	破解版	c=1 d=2.5385e-136 t=66987
po mo 	泼墨	c=2 d=3.93306e-137 t=66987
po po 	婆婆	c=1 d=3.87202e-15 t=66987
po wei 	颇为	c=0 d=2.48781e-135 t=66987
po wei shi er lou 	颇为十二楼	c=1 d=2.50028e-134 t=66987
pu 	普	c=1 d=5.47005e-21 t=66987
pu huo 	铺货	c=1 d=7.55374e-24 t=66987
pu ji 	普及	c=1 d=2.09324e-73 t=66987
pu tong 	普通	c=16 d=8.42617e-13 t=66987
qi 	其	c=1 d=2.8025e-06 t=66987
qi 	期	c=0 d=4.00653e-06 t=66987
qi 	气	c=1 d=2.16492e-28 t=66987
qi 	起	c=7 d=0.117655 t=66987
qi 	骑	c=2 d=2.96087e-115 t=66987
qi an 	奇案	c=0 d=1.22561e-12 t=66987
qi ba 	七八	c=1 d=8.07948e-139 t=66987
qi ba wan 	七八万	c=1 d=1.09032e-76 t=66987
qi chuang 	起床	c=1 d=1.7089e-10 t=66987
qi chuang la 	起床啦	c=1 d=3.72514e-60 t=66987
qi chuang le 	起床了	c=4 d=5.31002e-54 t=66987
qi dong 	启动	c=36 d=0.00104368 t=66987
qi dong shi 	启动时	c=2 d=5.05968e-132 t=66987
qi dong tai 	启动台	c=1 d=9.10679e-106 t=66987
qi dong zhi 	启动只	c=1 d=5.45336e-132 t=66987
qi fu 	欺负	c=1 d=5.61371e-120 t=66987
qi gai 	乞丐	c=1 d=6.97349e-113 t=66987
qi guai 	奇怪	c=5 d=1.05936e-52 t=66987
qi hang 	启航	c=1 d=0.245367 t=66987
qi hao 	旗号	c=1 d=7.48773e-09 t=66987
qi jian 	期间	c=1 d=3.93589e-31 t=66987
qi lai 	起来	c=15 d=5.10822e-10 t=66987
qi pao 	气泡	c=1 d=1.96591e-70 t=66987
qi shi 	其实	c=23 d=1.7652e-09 t=66987
qi su 	起诉	c=2 d=1.73692e-76 t=66987
qi ta 	其他	c=82 d=0.912251 t=66987
qi ta ren 	其他人	c=4 d=3.80389e-08 t=66987
qi wan 	七万	c=1 d=9.00631e-05 t=66987
qi wang 	期望	c=5 d=0.000185196 t=66987
qi wo er qu 	弃我而去	c=0 d=2.09901e-40 t=66987
qi wo er qu wo er 	弃我而去我二	c=1 d=1.05741e-39 t=66987
qi wo er qu wu er qi wu er qian wan en 	弃我而去五二七五二千万嗯	c=1 d=1.05213e-39 t=66987
qi xiang 	气象	c=1 d=3.40836e-132 t=66987
qi xie 	器械	c=2 d=2.77382e-103 t=66987
qi ye 	企业	c=4 d=0.501576 t=66987
qi yi 	奇异	c=1 d=6.48084e-104 t=66987
qi yi 	歧义	c=1 d=1.58247e-135 t=66987
qi yong 	启用	c=20 d=5.72378e-05 t=66987
qi yu 	其余	c=1 d=2.37129e-11 t=66987
qi yuan 	起源	c=1 d=0.0278757 t=66987
qi yun 	气韵	c=1 d=4.61272e-133 t=66987
qi zhong 	其中	c=7 d=0.000141623 t=66987
qi zi 	旗子	c=1 d=9.173e-103 t=66987
qian 	前	c=27 d=0.000257369 t=66987
qian 	钱	c=23 d=2.54939 t=66987
qian che 	牵扯	c=1 d=1.09761e-125 t=66987
qian dao 	签到	c=2 d=1.99423e-47 t=66987
qian de 	签的	c=1 d=0.0338776 t=66987
qian duan 	前端	c=81 d=0.40657 t=66987
qian duan jiu 	前端就	c=1 d=1.07244e-58 t=66987
qian duo 	千多	c=1 d=1.80228e-77 t=66987
qian ge 	签个	c=1 d=1.82392e-41 t=66987
qian guo 	牵过	c=1 d=4.4962e-38 t=66987
qian guo 	签过	c=1 d=4.51874e-38 t=66987
qian hou duan 	前后端	c=1 d=2.29778e-111 t=66987
qian le 	欠了	c=1 d=3.50165e-38 t=66987
qian le 	签了	c=2 d=3.75427e-34 t=66987
qian li 	潜力	c=1 d=2.54992e-130 t=66987
qian me 	钱么	c=2 d=0.00491728 t=66987
qian mian 	前面	c=8 d=3.30166e-52 t=66987
qian min 	前民	c=1 d=1.85357e-113 t=66987
qian ming 	签名	c=50 d=2.22778e-12 t=66987
qian ming hou 	签名后	c=2 d=6.0148e-79 t=66987
qian qi 	前期	c=1 d=7.67629e-125 t=66987
qian qian jun zi 	谦谦君子	c=1 d=5.15467e-87 t=66987
qian ru 	嵌入	c=1 d=0.606531 t=66987
qian ru 	迁入	c=1 d=1.45827e-144 t=66987
qian se 	浅色	c=3 d=1.15498e-48 t=66987
qian tai 	前台	c=7 d=1.55028e-11 t=66987
qian tao 	嵌套	c=3 d=1.01088e-39 t=66987
qian ti 	前提	c=1 d=1.38287e-137 t=66987
qian tian 	前天	c=1 d=5.0869e-49 t=66987
qian wan 	千万	c=1 d=7.05168e-09 t=66987
qian wang 	前往	c=2 d=5.19585e-63 t=66987
qian yao 	前摇	c=4 d=2.45177e-114 t=66987
qian yi 	迁移	c=9 d=1.33514e-19 t=66987
qian yi dao 	迁移到	c=1 d=2.26835e-77 t=66987
qian yue 	签约	c=4 d=4.02415e-19 t=66987
qian zheng 	签证	c=1 d=2.44369e-100 t=66987
qian zhi 	前置	c=1 d=2.80452e-132 t=66987
qian zhui 	前缀	c=4 d=0.00719046 t=66987
qian zi 	签字	c=1 d=3.66371e-129 t=66987
qiang 	墙	c=1 d=2.22774e-41 t=66987
qiang 	强	c=1 d=3.09124e-42 t=66987
qiang 	抢	c=2 d=2.39784e-71 t=66987
qiang 	枪	c=1 d=1.92332e-77 t=66987
qiang dao 	强盗	c=1 d=1.0656e-71 t=66987
qiang dao 	抢到	c=5 d=3.86534e-12 t=66987
qiang hua 	强化	c=2 d=8.17409e-25 t=66987
qiang zhe 	强者	c=2 d=4.80879e-115 t=66987
qiang zhi 	强制	c=13 d=7.87814e-30 t=66987
qiao 	敲	c=1 d=0.390628 t=66987
qiao jie 	桥接	c=20 d=7.21521e-14 t=66987
qiao qiao 	敲敲	c=1 d=0.377192 t=66987
qie 	且	c=12 d=0.000223658 t=66987
qie 	切	c=30 d=2.88508e-26 t=66987
qie chu 	切出	c=1 d=1.08861e-87 t=66987
qie fei 	切肺	c=1 d=2.70418e-27 t=66987
qie huan 	切换	c=31 d=1.61355 t=66987
qie huan wei 	切换为	c=2 d=8.60213e-53 t=66987
qie huan zhi 	切换至	c=1 d=1.01816e-94 t=66987
qie hui lai 	切回来	c=2 d=2.782e-96 t=66987
qie le 	切了	c=1 d=2.37923e-109 t=66987
qie pian 	切片	c=1 d=1.51165e-67 t=66987
qie ren 	切人	c=1 d=1.28976e-23 t=66987
qie tu 	切图	c=2 d=5.42634e-103 t=66987
qie yi xia 	切一下	c=1 d=1.61005e-103 t=66987
qin 	亲	c=1 d=4.6437e-06 t=66987
qin cai 	芹菜	c=1 d=2.79871e-137 t=66987
qin mi 	亲密	c=4 d=0.467549 t=66987
qin mi du 	亲密度	c=11 d=0.552364 t=66987
qin qi 	亲戚	c=2 d=1.55049e-42 t=66987
qin wo 	亲我	c=2 d=2.62324e-130 t=66987
qing 	请	c=107 d=0.237098 t=66987
qing 	青	c=4 d=0.000350903 t=66987
qing chao 	清朝	c=1 d=4.64039e-27 t=66987
qing chu 	清楚	c=13 d=0.000593188 t=66987
qing chu 	清除	c=5 d=2.34276e-45 t=66987
